"Min,Max,Modal PriceAjmer(F&V) from 01-Jan-2014To21-Jul-2024 (Total-2769) (Total-2769)",,,,,,,,,01-Jan-14
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),02-Jan-14
1,Ajmer,Ajmer(F&V),Apple,Other,Small,5000,7000,6000,03-Jan-14
2,Ajmer,Ajmer(F&V),Apple,Other,Medium,0,0,10000,07-Jan-14
3,Ajmer,Ajmer(F&V),Apple,Other,Large,3000,6500,5000,08-Jan-14
4,Ajmer,Ajmer(F&V),Apple,Other,Large,4000,6500,5500,09-Jan-14
5,Ajmer,Ajmer(F&V),Apple,Other,Large,3500,6500,5000,11-Jan-14
6,Ajmer,Ajmer(F&V),Apple,Other,Small,6500,10000,8000,12-Jan-14
7,Ajmer,Ajmer(F&V),Apple,Other,Small,6500,9000,8000,15-Jan-14
8,Ajmer,Ajmer(F&V),Apple,Other,Large,3500,10000,7500,18-Jan-14
9,Ajmer,Ajmer(F&V),Apple,Other,Large,6000,8000,6550,19-Jan-14
10,Ajmer,Ajmer(F&V),Apple,Other,Large,5200,6600,6000,21-Jan-14
11,Ajmer,Ajmer(F&V),Apple,Other,Large,8500,10000,9500,22-Jan-14
12,Ajmer,Ajmer(F&V),Apple,Other,Large,2500,4000,3550,23-Jan-14
13,Ajmer,Ajmer(F&V),Apple,Other,Large,4000,6500,5500,24-Jan-14
14,Ajmer,Ajmer(F&V),Apple,Other,Small,5500,9000,6800,27-Jan-14
15,Ajmer,Ajmer(F&V),Apple,Other,Small,5000,9000,7500,28-Jan-14
16,Ajmer,Ajmer(F&V),Apple,Other,Large,5000,8000,6600,29-Jan-14
17,Ajmer,Ajmer(F&V),Apple,Other,Large,5000,8000,7000,30-Jan-14
18,Ajmer,Ajmer(F&V),Apple,Other,Large,5000,8000,6500,31-Jan-14
19,Ajmer,Ajmer(F&V),Apple,Other,Large,5000,8500,8000,01-Feb-14
20,Ajmer,Ajmer(F&V),Apple,Other,Large,4000,7000,5500,04-Feb-14
21,Ajmer,Ajmer(F&V),Apple,Other,Large,7000,10000,9000,05-Feb-14
22,Ajmer,Ajmer(F&V),Apple,Other,Large,2500,5500,4200,06-Feb-14
23,Ajmer,Ajmer(F&V),Apple,Other,Large,4000,8000,6000,07-Feb-14
24,Ajmer,Ajmer(F&V),Apple,Other,Large,4500,9000,6800,11-Feb-14
25,Ajmer,Ajmer(F&V),Apple,Other,Large,5000,6000,5500,12-Feb-14
26,Ajmer,Ajmer(F&V),Apple,Other,Large,3500,6500,5000,13-Feb-14
27,Ajmer,Ajmer(F&V),Apple,Other,Large,7500,10000,9000,17-Feb-14
28,Ajmer,Ajmer(F&V),Apple,Other,Large,3600,7500,5800,18-Feb-14
29,Ajmer,Ajmer(F&V),Apple,Other,Large,5000,7500,6500,18-Feb-14
30,Ajmer,Ajmer(F&V),Apple,Other,Large,4500,9000,6800,20-Feb-14
31,Ajmer,Ajmer(F&V),Apple,Other,Small,6000,7500,6300,24-Feb-14
32,Ajmer,Ajmer(F&V),Apple,Other,Large,3000,5500,4300,25-Feb-14
33,Ajmer,Ajmer(F&V),Apple,Other,Large,4000,8000,6000,27-Feb-14
34,Ajmer,Ajmer(F&V),Apple,Other,Large,4000,6500,5300,28-Feb-14
35,Ajmer,Ajmer(F&V),Apple,Other,Large,3400,6500,5000,02-Mar-14
36,Ajmer,Ajmer(F&V),Apple,Other,Large,2500,6500,4500,03-Mar-14
37,Ajmer,Ajmer(F&V),Apple,Other,Large,4000,9000,6500,04-Mar-14
38,Ajmer,Ajmer(F&V),Apple,Other,Large,4000,9000,6500,05-Mar-14
39,Ajmer,Ajmer(F&V),Apple,Other,Small,5000,8500,6200,06-Mar-14
40,Ajmer,Ajmer(F&V),Apple,Other,Large,2500,6000,4500,07-Mar-14
41,Ajmer,Ajmer(F&V),Apple,Other,Small,6000,9000,7000,11-Mar-14
42,Ajmer,Ajmer(F&V),Apple,Other,Large,6000,12000,10000,13-Mar-14
