Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),date
Small,5000,7000,6000,2014-01-03
Medium,0,0,10000,2014-01-07
Large,3000,6500,5000,2014-01-08
Large,4000,6500,5500,2014-01-09
Large,3500,6500,5000,2014-01-11
Small,6500,10000,8000,2014-01-12
Small,6500,9000,8000,2014-01-15
Large,3500,10000,7500,2014-01-18
Large,6000,8000,6550,2014-01-19
Large,5200,6600,6000,2014-01-21
Large,8500,10000,9500,2014-01-22
Large,2500,4000,3550,2014-01-23
Large,4000,6500,5500,2014-01-24
Small,5500,9000,6800,2014-01-27
Small,5000,9000,7500,2014-01-28
Large,5000,8000,6600,2014-01-29
Large,5000,8000,7000,2014-01-30
Large,5000,8000,6500,2014-01-31
Large,5000,8500,8000,2014-02-01
Large,4000,7000,5500,2014-02-04
Large,7000,10000,9000,2014-02-05
Large,2500,5500,4200,2014-02-06
Large,4000,8000,6000,2014-02-07
Large,4500,9000,6800,2014-02-11
Large,5000,6000,5500,2014-02-12
Large,3500,6500,5000,2014-02-13
Large,7500,10000,9000,2014-02-17
Large,3600,7500,5800,2014-02-18
Large,5000,7500,6500,2014-02-18
Large,4500,9000,6800,2014-02-20
Small,6000,7500,6300,2014-02-24
Large,3000,5500,4300,2014-02-25
Large,4000,8000,6000,2014-02-27
Large,4000,6500,5300,2014-02-28
Large,3400,6500,5000,2014-03-02
Large,2500,6500,4500,2014-03-03
Large,4000,9000,6500,2014-03-04
Large,4000,9000,6500,2014-03-05
Small,5000,8500,6200,2014-03-06
Large,2500,6000,4500,2014-03-07
Small,6000,9000,7000,2014-03-11
Large,6000,12000,10000,2014-03-13
Large,4000,10000,7000,2014-03-14
Large,7500,10000,9200,2014-03-15
Small,7000,12000,8500,2014-03-16
Large,7000,9000,8000,2014-03-19
Large,4000,9000,6500,2014-03-21
Large,4500,8500,7200,2014-03-22
FAQ,4500,9000,6800,2014-03-23
Large,7500,10000,9000,2014-03-25
Large,4000,11000,8000,2014-03-26
Large,4500,8500,6500,2014-03-27
Large,3500,6500,5000,2014-03-28
Large,4000,9000,6500,2014-03-29
Small,4500,8000,6000,2014-03-30
Large,8500,11000,9500,2014-03-31
Small,4000,8000,7000,2014-04-02
Large,4500,8000,6500,2014-04-03
Large,5000,8000,6500,2014-04-04
Large,4500,6500,5500,2014-04-07
Small,5500,9000,8000,2014-04-09
Large,5000,7500,6500,2014-04-10
Small,7000,9000,7800,2014-04-11
Large,4000,10000,7000,2014-04-16
Large,4000,6500,6000,2014-04-21
Large,5000,7500,6400,2014-04-22
Large,2500,4500,3850,2014-04-23
Large,3500,9000,6300,2014-04-24
Large,4000,6000,5000,2014-04-25
Large,5000,8000,6500,2014-04-29
Small,6500,9000,8000,2014-04-30
Large,4000,9000,6500,2014-05-01
Small,5000,6500,5600,2014-05-02
Small,5000,7000,5600,2014-05-03
Large,4000,6500,6000,2014-05-04
Large,3500,5500,4500,2014-05-06
Large,3500,7000,5300,2014-05-07
Large,2500,6000,4500,2014-05-08
Large,5000,7500,6500,2014-05-09
Large,6500,10000,8400,2014-05-10
Large,8000,11000,9500,2014-05-12
Large,2500,4500,4000,2014-05-13
Large,4000,8000,6200,2014-05-15
Large,4000,8000,6200,2014-05-16
Large,3000,5500,4500,2014-05-21
Large,4000,8500,6500,2014-05-22
Large,9500,13000,12000,2014-05-23
Large,4000,6500,5500,2014-05-26
Large,3000,5000,4500,2014-05-29
Large,3500,6500,5200,2014-05-30
Large,3000,6500,5500,2014-06-02
Large,5000,9000,8500,2014-06-03
Large,7000,10000,8600,2014-06-04
Large,4000,7000,5500,2014-06-05
Small,5000,8000,6500,2014-06-06
Large,4000,9500,6800,2014-06-10
Large,4000,8800,6400,2014-06-12
Large,4000,8000,7500,2014-06-14
Small,4500,8000,6000,2014-06-15
Large,4000,6500,5500,2014-06-16
Small,6000,9500,8500,2014-06-17
Large,6500,9000,7800,2014-06-18
Large,5000,6000,5800,2014-06-19
Large,7000,9000,8000,2014-06-20
Large,2300,5500,4400,2014-06-22
Large,2300,5500,4400,2014-06-23
Large,3500,6500,5000,2014-06-24
Large,5000,9000,7000,2014-06-25
Small,6500,9000,7600,2014-06-26
Small,7500,13000,8500,2014-06-27
Large,3500,8500,6000,2014-07-01
Large,3500,7500,5500,2014-07-02
Large,3400,6400,5000,2014-07-03
Large,4500,8500,6500,2014-07-04
Large,5000,7500,7000,2014-07-05
Large,4000,6500,5300,2014-07-06
Large,3500,5500,4800,2014-07-08
Large,5000,6000,5800,2014-07-10
Large,3200,6500,5000,2014-07-11
Large,4000,8000,6000,2014-07-14
Large,4500,7500,6500,2014-07-15
Large,4000,6500,5300,2014-07-16
Small,5500,9000,8200,2014-07-17
Large,8000,10000,9500,2014-07-18
Small,0,0,6000,2014-07-19
Large,4000,10000,7000,2014-07-20
Large,5500,10000,7500,2014-07-22
Large,4000,8000,6000,2014-07-23
Large,5000,6500,5800,2014-07-24
Small,6000,9000,7500,2014-07-25
Large,8500,11000,10000,2014-07-26
Large,4000,9000,7000,2014-07-27
Large,5000,9000,8000,2014-07-28
Large,3000,5000,4000,2014-07-29
