Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),date
1057,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1400,1200,02-Jan-14
1037,Ajmer,Ajmer(F&V),Guava,Other,Small,700,1400,950,03-Jan-14
1049,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1300,1000,06-Jan-14
1042,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1200,900,07-Jan-14
1043,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1200,950,08-Jan-14
1044,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1200,950,09-Jan-14
1033,Ajmer,Ajmer(F&V),Guava,Other,Small,700,1200,800,11-Jan-14
1148,Ajmer,Ajmer(F&V),Guava,Other,Small,850,1200,1000,12-Jan-14
1028,Ajmer,Ajmer(F&V),Guava,Other,Small,700,1000,800,13-Jan-14
1036,Ajmer,Ajmer(F&V),Guava,Other,Small,700,1300,900,15-Jan-14
1050,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1300,1000,18-Jan-14
1053,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1400,1100,19-Jan-14
1029,Ajmer,Ajmer(F&V),Guava,Other,Small,700,1000,800,20-Jan-14
1034,Ajmer,Ajmer(F&V),Guava,Other,Small,700,1200,800,21-Jan-14
1045,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1200,950,22-Jan-14
1032,Ajmer,Ajmer(F&V),Guava,Other,Small,700,1000,850,24-Jan-14
1035,Ajmer,Ajmer(F&V),Guava,Other,Small,700,1200,900,27-Jan-14
1030,Ajmer,Ajmer(F&V),Guava,Other,Small,700,1000,800,28-Jan-14
1031,Ajmer,Ajmer(F&V),Guava,Other,Small,700,1000,800,29-Jan-14
1039,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1100,900,30-Jan-14
1040,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1100,950,31-Jan-14
1047,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1300,1000,01-Feb-14
1158,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1500,1300,03-Feb-14
1038,Ajmer,Ajmer(F&V),Guava,Other,Small,750,1100,850,04-Feb-14
1041,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1200,900,05-Feb-14
1048,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1300,1000,06-Feb-14
1052,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1400,1100,07-Feb-14
1051,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1300,1100,10-Feb-14
1046,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1300,950,11-Feb-14
1150,Ajmer,Ajmer(F&V),Guava,Other,Small,900,0,1300,12-Feb-14
1157,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1500,1200,17-Feb-14
1183,Ajmer,Ajmer(F&V),Guava,Other,Small,1100,1600,1400,18-Feb-14
1151,Ajmer,Ajmer(F&V),Guava,Other,Small,900,1500,1200,20-Feb-14
1182,Ajmer,Ajmer(F&V),Guava,Other,Small,1100,1600,1300,24-Feb-14
1184,Ajmer,Ajmer(F&V),Guava,Other,Small,1200,1800,1500,27-Feb-14
1167,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1800,1500,02-Apr-14
1170,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1800,1500,13-Aug-14
1165,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1800,1400,14-Aug-14
1166,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1800,1400,19-Aug-14
1164,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1800,1300,20-Aug-14
1176,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,2000,1400,21-Aug-14
1180,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,2000,1600,25-Aug-14
1025,Ajmer,Ajmer(F&V),Guava,Other,Medium,0,0,1600,26-Aug-14
1177,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,2000,1500,27-Aug-14
1147,Ajmer,Ajmer(F&V),Guava,Other,Small,800,2000,1600,29-Aug-14
1027,Ajmer,Ajmer(F&V),Guava,Other,Small,0,0,1500,31-Aug-14
1129,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1800,1500,02-Sep-14
1160,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1600,1400,03-Sep-14
1073,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1600,1300,04-Sep-14
1159,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1600,1300,05-Sep-14
1026,Ajmer,Ajmer(F&V),Guava,Other,Small,0,0,1400,07-Sep-14
1069,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1600,1200,10-Sep-14
1067,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1500,1300,11-Sep-14
1171,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1800,1500,16-Sep-14
1179,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,2000,1600,23-Sep-14
1162,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1600,1400,16-Oct-14
1173,Ajmer,Ajmer(F&V),Guava,Other,Small,1000,1800,1500,31-Oct-14
1152,Ajmer,Ajmer(F&V),Guava,Other,Small,900,1600,1300,02-Nov-14
1093,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1600,1400,07-Nov-14
1064,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1500,1200,08-Nov-14
1095,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1600,1400,09-Nov-14
1096,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1600,1400,10-Nov-14
1118,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1600,1500,11-Nov-14
1099,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1600,1400,12-Nov-14
1068,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1500,1300,13-Nov-14
1126,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1800,1400,14-Nov-14
1123,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1800,1300,15-Nov-14
1106,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1600,1400,16-Nov-14
1109,Ajmer,Ajmer(F&V),Guava,Other,Small,800,1600,1400,18-Nov-14
