"Min,Max,Modal PriceAjmer(F&V) from 01-Jan-2014To16-Jul-2024 (Total-2867) (Total-2867)",,,,,,,,,01-Jan-14
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),02-Jan-14
1,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1500,3200,2350,03-Jan-14
2,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,1200,1000,04-Jan-14
3,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,750,05-Jan-14
4,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1800,3400,2600,06-Jan-14
5,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,1300,1000,08-Jan-14
6,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1000,850,09-Jan-14
7,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,3000,7000,5000,10-Jan-14
8,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1200,2600,2200,12-Jan-14
9,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,900,1600,1400,13-Jan-14
10,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1000,1400,1200,15-Jan-14
11,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,600,500,20-Jan-14
12,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,2000,5000,4000,21-Jan-14
13,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1300,1000,22-Jan-14
14,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1200,800,23-Jan-14
15,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,300,500,450,24-Jan-14
16,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,600,550,25-Jan-14
17,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,2000,4000,3500,27-Jan-14
18,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,1400,1200,28-Jan-14
19,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,2000,1300,29-Jan-14
20,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1000,800,30-Jan-14
21,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,600,550,31-Jan-14
22,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,2000,1400,01-Feb-14
23,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1500,3500,3000,03-Feb-14
24,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1300,1000,04-Feb-14
25,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1000,800,05-Feb-14
26,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,900,06-Feb-14
27,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,2000,3000,2500,07-Feb-14
28,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,2000,3800,3500,08-Feb-14
29,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,900,800,09-Feb-14
30,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,300,600,450,10-Feb-14
31,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,900,1600,1200,11-Feb-14
32,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1000,750,12-Feb-14
33,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1400,1100,13-Feb-14
34,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,1500,1200,17-Feb-14
35,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,900,1500,1100,18-Feb-14
36,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,1400,1100,19-Feb-14
37,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1000,1500,1350,20-Feb-14
38,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,750,22-Feb-14
39,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,800,650,23-Feb-14
40,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,1800,1400,24-Feb-14
41,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1500,3000,2500,25-Feb-14
42,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1000,800,26-Feb-14
43,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1500,1000,27-Feb-14
44,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,700,600,28-Feb-14
45,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1000,850,01-Mar-14
46,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,800,500,02-Mar-14
47,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1000,1800,1500,03-Mar-14
48,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,850,04-Mar-14
49,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1500,3500,3000,05-Mar-14
50,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,900,1500,1200,06-Mar-14
51,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1400,3600,2500,07-Mar-14
52,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1000,2400,2100,08-Mar-14
53,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,900,1400,1000,09-Mar-14
54,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1500,2500,1900,10-Mar-14
55,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1500,2000,1800,11-Mar-14
56,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,700,650,12-Mar-14
57,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1400,1200,13-Mar-14
58,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1400,3600,2500,14-Mar-14
59,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,900,700,15-Mar-14
60,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,800,16-Mar-14
61,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1200,950,18-Mar-14
62,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1000,2400,1700,19-Mar-14
63,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,750,21-Mar-14
64,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1500,2200,1900,22-Mar-14
65,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1600,4000,2800,23-Mar-14
66,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1200,2500,2200,25-Mar-14
67,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,750,26-Mar-14
68,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,2000,1400,27-Mar-14
69,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1200,900,28-Mar-14
70,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,1400,1200,29-Mar-14
71,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,800,600,30-Mar-14
72,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,900,1600,1300,31-Mar-14
73,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,1600,1200,01-Apr-14
74,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,800,650,02-Apr-14
75,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,300,600,500,03-Apr-14
76,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1300,900,04-Apr-14
77,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,750,05-Apr-14
78,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1500,4000,3000,06-Apr-14
79,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1000,800,07-Apr-14
80,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1000,2000,1600,09-Apr-14
81,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,800,10-Apr-14
82,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,900,1600,1350,11-Apr-14
83,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,800,700,12-Apr-14
84,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,750,13-Apr-14
85,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,900,700,14-Apr-14
86,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,900,600,16-Apr-14
87,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,1600,1200,18-Apr-14
88,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1200,900,19-Apr-14
89,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1100,800,20-Apr-14
90,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,800,650,21-Apr-14
91,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1100,1500,1300,22-Apr-14
92,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1500,3500,2600,23-Apr-14
93,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1600,3500,2800,24-Apr-14
94,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,750,25-Apr-14
95,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1600,1200,26-Apr-14
96,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,1000,700,27-Apr-14
97,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1000,2200,1600,28-Apr-14
98,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1300,900,29-Apr-14
99,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1300,950,30-Apr-14
100,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1200,1000,01-May-14
101,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1200,2800,2000,02-May-14
102,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1300,1000,03-May-14
103,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,900,1500,1200,05-May-14
104,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,700,650,06-May-14
105,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,2000,1400,07-May-14
