Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
1500,3200,2350
800,1200,1000
500,1000,750
1800,3400,2600
800,1300,1000
700,1000,850
3000,7000,5000
1200,2600,2200
900,1600,1400
1000,1400,1200
400,600,500
2000,5000,4000
700,1300,1000
600,1200,800
300,500,450
400,600,550
2000,4000,3500
800,1400,1200
600,2000,1300
600,1000,800
400,600,550
800,2000,1400
1500,3500,3000
700,1300,1000
600,1000,800
500,1000,900
2000,3000,2500
2000,3800,3500
500,900,800
300,600,450
900,1600,1200
600,1000,750
700,1400,1100
800,1500,1200
900,1500,1100
800,1400,1100
1000,1500,1350
500,1000,750
400,800,650
800,1800,1400
1500,3000,2500
600,1000,800
600,1500,1000
400,700,600
700,1000,850
400,800,500
1000,1800,1500
500,1000,850
1500,3500,3000
900,1500,1200
1400,3600,2500
1000,2400,2100
900,1400,1000
1500,2500,1900
1500,2000,1800
400,700,650
700,1400,1200
1400,3600,2500
400,900,700
500,1000,800
700,1200,950
1000,2400,1700
500,1000,750
1500,2200,1900
1600,4000,2800
1200,2500,2200
500,1000,750
800,2000,1400
600,1200,900
800,1400,1200
400,800,600
900,1600,1300
800,1600,1200
500,800,650
300,600,500
500,1300,900
500,1000,750
1500,4000,3000
700,1000,800
1000,2000,1600
500,1000,800
900,1600,1350
500,800,700
500,1000,750
500,900,700
400,900,600
800,1600,1200
500,1200,900
500,1100,800
500,800,650
1100,1500,1300
1500,3500,2600
1600,3500,2800
500,1000,750
700,1600,1200
400,1000,700
1000,2200,1600
500,1300,900
600,1300,950
700,1200,1000
1200,2800,2000
700,1300,1000
900,1500,1200
400,700,650
800,2000,1400
500,900,700
700,1400,1100
600,1100,900
600,1200,900
1000,2200,1500
1500,2500,2200
1000,2000,1800
3000,9000,6000
1500,3500,2500
700,1800,1250
1000,2200,1800
1200,1600,1450
1500,3000,2600
500,1000,800
500,1000,800
2000,3000,2300
1800,3000,2800
600,900,700
800,1600,1200
700,2100,1400
1200,2500,1900
1600,2300,2000
500,800,650
300,600,400
400,600,550
400,800,650
800,1600,1200
600,1200,900
1200,1800,1500
1000,2500,1800
1400,2800,2100
600,1000,800
300,800,500
600,1000,850
800,2200,1500
1800,3200,2500
300,700,500
700,1400,1100
800,1600,1200
1000,2400,1600
900,1800,1600
600,900,750
700,1300,1000
600,1500,1200
1000,1500,1200
1200,2200,2000
400,700,550
1000,3000,2000
800,1200,1000
700,1500,1100
1200,2600,1900
500,1100,800
400,700,500
600,1200,900
300,700,550
500,700,600
600,1300,1100
1000,2200,1600
400,800,600
800,1400,1100
600,1400,1000
800,1500,1200
1500,3000,2500
1000,2200,1600
700,1300,1000
600,1400,1000
1500,3000,2500
400,600,500
550,1100,825
700,1300,1000
350,600,500
1500,3000,2250
3000,4500,4000
800,1600,1200
2000,3200,2600
500,1100,800
1200,3200,2200
1000,2400,1800
600,1300,950
500,1100,800
800,2000,1500
800,2000,1400
500,1000,750
800,1000,900
400,600,500
600,1200,1000
450,2500,2100
700,1600,1400
600,1100,900
1600,3500,3000
500,1000,750
2000,3500,2800
1000,2800,1900
1200,2600,1900
1000,2500,2000
1200,2600,2200
400,800,600
700,1300,1000
700,1500,1100
400,800,600
500,900,800
350,600,450
500,1200,850
2000,3200,2600
400,800,600
400,800,650
2000,3200,3000
400,900,700
400,600,500
600,1200,900
1000,1500,1100
800,1800,1400
800,1600,1300
400,600,500
500,1400,950
400,700,600
500,1500,1000
600,1200,1000
500,900,700
600,1300,950
900,1500,1200
500,700,600
700,1600,1150
500,800,650
2000,3000,2600
600,1200,950
700,1300,1000
800,1200,1000
1000,2400,1800
300,700,500
500,700,600
500,1000,750
1000,2400,1800
800,1400,1200
900,1800,1300
300,700,550
500,1000,750
600,1200,900
1800,2800,2500
600,1600,1200
500,900,700
300,600,500
700,1400,1050
1500,3200,2350
1500,2200,2000
1400,3500,3200
600,1000,800
500,800,650
400,600,500
500,1000,800
700,1300,1000
500,900,750
400,800,550
400,700,600
400,900,700
800,1200,1000
600,1200,1000
800,1400,1200
2500,5500,4200
300,700,600
600,1000,800
600,1000,800
400,1000,700
400,1000,750
900,1500,1100
700,1100,900
1200,1500,1350
700,1000,850
1500,3500,2500
300,700,550
500,1100,800
400,900,650
500,1000,800
700,1400,1200
600,1400,1000
500,900,750
900,1500,1200
400,900,650
1600,3200,2400
900,1400,1250
900,1500,1200
700,1100,900
600,1000,800
1000,2200,1600
400,600,550
800,1400,1100
1400,3400,2400
500,1000,750
500,1200,950
700,1200,950
700,1400,1200
700,1000,900
400,900,700
500,1000,800
4000,6000,5500
600,1200,900
1500,3000,2600
800,1500,1000
1400,2500,2100
800,1800,1300
300,700,550
600,1000,850
600,1100,850
400,800,650
600,1200,1000
500,1100,800
300,600,400
1000,1800,1600
700,1300,1000
1000,3200,2100
400,800,700
1200,2500,2000
500,1000,750
800,1400,1200
1500,2500,2200
300,700,500
800,2200,1500
1400,2500,2100
500,1200,900
600,1200,950
1500,2300,1900
1000,2200,1800
3500,5200,4500
1000,1500,1300
800,1000,900
500,1000,800
1500,5000,3500
500,1000,700
400,900,700
600,1400,1000
400,1000,600
1000,2000,1700
700,2000,1500
500,1000,800
2000,3500,2800
500,1000,750
800,1700,1500
500,900,700
800,1200,1000
700,1200,950
